ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,X,X,X,,,,,
3,AJO,,,,,X,X,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,X,X,X,X,,,
9,BRÓCOLI,,,,,X,X,X,X,X,X,X,
10,CALABACIN,,,,,X,X,X,,,,,
11,CALABAZA,,,,,,X,X,X,X,,,
14,CEBOLLA,,,,X,X,X,X,,,,,
16,CHAMPINON,,,,,,,,,,,,
18,COL,,,,,,,,,X,X,X,X
19,COL DE BRUSELAS,,,,,,X,X,X,X,X,,
20,COLIFLOR,,,,,,,,,X,X,X,X
21,ENDIBIA,,,,,,,,,,,,
22,ESPARRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
26,GUISANTE,,,,X,X,X,X,,,,,
27,HABAS,,,,,X,X,X,X,,,,
29,JUDIAS,,,,,X,X,X,,,,,
31,LECHUGA,X,X,X,X,X,X,X,X,X,X,,
34,MAIZ,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
44,PATATA,,,X,X,X,X,X,X,,,,
45,PEPINO,,,,,,,,,,,,
47,PIMIENTO,,,,X,X,X,X,X,,,,
51,PUERRO,,,,,,,,,,,,
52,RABANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,X,X,,,,
55,TOMATE,,,,,,,X,X,,,,
57,ZANAHORIA,,,,,,,,,,,,
